rcp,gcm,resolution,scenario,name
ssp126,GFDL-ESM4,c1000,cc,ISIMIP_140122_ndc_ssp126_GFDL-ESM4_cc_c1000
ssp126,MRI-ESM2-0,c1000,cc,ISIMIP_140122_ndc_ssp126_MRI-ESM2-0_cc_c1000
ssp126,UKESM1-0-LL,c1000,cc,ISIMIP_140122_ndc_ssp126_UKESM1-0-LL_cc_c1000
ssp126,MPI-ESM1-2-HR,c1000,cc,ISIMIP_140122_ndc_ssp126_MPI-ESM1-2-HR_cc_c1000
ssp126,IPSL-CM6A-LR,c1000,cc,ISIMIP_140122_ndc_ssp126_IPSL-CM6A-LR_cc_c1000
ssp370,GFDL-ESM4,c1000,cc,ISIMIP_140122_ndc_ssp370_GFDL-ESM4_cc_c1000
ssp370,MRI-ESM2-0,c1000,cc,ISIMIP_140122_ndc_ssp370_MRI-ESM2-0_cc_c1000
ssp370,UKESM1-0-LL,c1000,cc,ISIMIP_140122_ndc_ssp370_UKESM1-0-LL_cc_c1000
ssp370,MPI-ESM1-2-HR,c1000,cc,ISIMIP_140122_ndc_ssp370_MPI-ESM1-2-HR_cc_c1000
ssp370,IPSL-CM6A-LR,c1000,cc,ISIMIP_140122_ndc_ssp370_IPSL-CM6A-LR_cc_c1000
ssp585,GFDL-ESM4,c1000,cc,ISIMIP_140122_ndc_ssp585_GFDL-ESM4_cc_c1000
ssp585,MRI-ESM2-0,c1000,cc,ISIMIP_140122_ndc_ssp585_MRI-ESM2-0_cc_c1000
ssp585,UKESM1-0-LL,c1000,cc,ISIMIP_140122_ndc_ssp585_UKESM1-0-LL_cc_c1000
ssp585,MPI-ESM1-2-HR,c1000,cc,ISIMIP_140122_ndc_ssp585_MPI-ESM1-2-HR_cc_c1000
ssp585,IPSL-CM6A-LR,c1000,cc,ISIMIP_140122_ndc_ssp585_IPSL-CM6A-LR_cc_c1000
ssp126,2015soc,c1000,2015soc,ISIMIP_140122_ndc_ssp126_MRI-ESM2-0_nocc_hist_c1000
ssp370,2015soc,c1000,2015soc,ISIMIP_140122_ndc_ssp370_MRI-ESM2-0_nocc_hist_c1000
ssp585,2015soc,c1000,2015soc,ISIMIP_140122_ndc_ssp585_MRI-ESM2-0_nocc_hist_c1000
