rcp,gcm,resolution,ggcm,name_tgz
ssp126,GFDL-ESM4,c200,LPjmL,rev4.65Paper_170122_8f7b9423_d125c645_cellularmagpie_c200_GFDL-ESM4-ssp126_lpjml-8e6c5eb1.tgz
ssp126,MRI-ESM2-0,c200,LPjmL,rev4.65Paper_170122_8f7b9423_c1e79a57_cellularmagpie_c200_MRI-ESM2-0-ssp126_lpjml-8e6c5eb1.tgz
ssp126,UKESM1-0-LL,c200,LPjmL,rev4.65Paper_170122_8f7b9423_4afee170_cellularmagpie_c200_UKESM1-0-LL-ssp126_lpjml-8e6c5eb1.tgz
ssp126,MPI-ESM1-2-HR,c200,LPjmL,rev4.65Paper_170122_8f7b9423_0a474f1b_cellularmagpie_c200_MPI-ESM1-2-HR-ssp126_lpjml-8e6c5eb1.tgz
ssp126,IPSL-CM6A-LR,c200,LPjmL,rev4.65Paper_170122_8f7b9423_ac9c7290_cellularmagpie_c200_IPSL-CM6A-LR-ssp126_lpjml-8e6c5eb1.tgz
ssp585,GFDL-ESM4,c200,LPjmL,rev4.65Paper_170122_8f7b9423_ef7a9087_cellularmagpie_c200_GFDL-ESM4-ssp585_lpjml-8e6c5eb1.tgz
ssp585,MRI-ESM2-0,c200,LPjmL,rev4.65Paper_170122_8f7b9423_4e514e15_cellularmagpie_c200_MRI-ESM2-0-ssp585_lpjml-8e6c5eb1.tgz
ssp585,UKESM1-0-LL,c200,LPjmL,rev4.65Paper_170122_8f7b9423_f2acbfe3_cellularmagpie_c200_UKESM1-0-LL-ssp585_lpjml-8e6c5eb1.tgz
ssp585,MPI-ESM1-2-HR,c200,LPjmL,rev4.65Paper_170122_8f7b9423_b2f3caae_cellularmagpie_c200_MPI-ESM1-2-HR-ssp585_lpjml-8e6c5eb1.tgz
ssp585,IPSL-CM6A-LR,c200,LPjmL,rev4.65Paper_170122_8f7b9423_5d96019d_cellularmagpie_c200_IPSL-CM6A-LR-ssp585_lpjml-8e6c5eb1.tgz
ssp126,GFDL-ESM4,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_2f5799ae_cellularmagpie_c200_GFDL-ESM4-ssp126_lpjml-8e6c5eb1_isimip-d153f357.tgz
ssp126,MRI-ESM2-0,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_8bc74468_cellularmagpie_c200_MRI-ESM2-0-ssp126_lpjml-8e6c5eb1_isimip-ec49078e.tgz
ssp126,UKESM1-0-LL,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_2f6e3a05_cellularmagpie_c200_UKESM1-0-LL-ssp126_lpjml-8e6c5eb1_isimip-25c8eb67.tgz
ssp126,MPI-ESM1-2-HR,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_3c8e6f95_cellularmagpie_c200_MPI-ESM1-2-HR-ssp126_lpjml-8e6c5eb1_isimip-15491f92.tgz
ssp126,IPSL-CM6A-LR,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_df32d727_cellularmagpie_c200_IPSL-CM6A-LR-ssp126_lpjml-8e6c5eb1_isimip-8aafe829.tgz
ssp585,GFDL-ESM4,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_38942f9c_cellularmagpie_c200_GFDL-ESM4-ssp585_lpjml-8e6c5eb1_isimip-52cf99e7.tgz
ssp585,MRI-ESM2-0,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_a3cb98a2_cellularmagpie_c200_MRI-ESM2-0-ssp585_lpjml-8e6c5eb1_isimip-51f194cd.tgz
ssp585,UKESM1-0-LL,c200,EPIC-IIASA,rev4.65+Paper_170122_EPIC-IIASA_8f7b9423_8eb008bc_cellularmagpie_c200_UKESM1-0-LL-ssp585_lpjml-8e6c5eb1_isimip-129b20b1.tgz
